歌曲,歌手,連結,歌詞
Yummy,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/bgD00-PXY8Lqozj7qozj70XL-index.html,
Intentions,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/VqF00.0D74.s38vps38vp0XL-index.html,
Salt,Ava Max (艾娃麥絲),https://www.kkbox.com/tw/tc/song/K3P00SlOXK5fauY1fauY10XL-index.html,
Into the Unknown,Various Artists,https://www.kkbox.com/tw/tc/song/YdP00YKG4aKpJsa2pJsa20XL-index.html,
Be Kind,Marshmello Halsey,https://www.kkbox.com/tw/tc/song/tfs00GpGpD5Px3THPx3TH0XL-index.html,
Rain On Me,Lady Gaga Ariana Grande,https://www.kkbox.com/tw/tc/song/hs2009pUOHLGS5arGS5ar0XL-index.html,
Dynamite,BTS防彈少年團 (BANGTAN BOYS),https://www.kkbox.com/tw/tc/song/pk200wZ4-aL1ODk31ODk30XL-index.html,
Alone  Pt. II,Alan Walker Ava Max,https://www.kkbox.com/tw/tc/song/2kE00a9MPO5uz1Tpuz1Tp0XL-index.html,
You should be sad,Halsey (海爾希),https://www.kkbox.com/tw/tc/song/Ftx00Hs9XGLSWR2bSWR2b0XL-index.html,
Funny,Zedd & Jasmine Thompson,https://www.kkbox.com/tw/tc/song/31q00-PW6HLqom7rqom7r0XL-index.html,
Physical,Dua Lipa,https://www.kkbox.com/tw/tc/song/R71008q6MWLE51FFE51FF0XL-index.html,
Sour Candy (酸糖),Lady Gaga,https://www.kkbox.com/tw/tc/song/ji300X.DGXLn.3J7n.3J70XL-index.html,
Stuck with U,Ariana Grande Justin Bieber,https://www.kkbox.com/tw/tc/song/yPR00CYH5X5JE28LJE28L0XL-index.html,
Kings & Queens,Ava Max (艾娃麥絲),https://www.kkbox.com/tw/tc/song/2GE00-6GNGLq1hK7q1hK70XL-index.html,
Break My Heart,Dua Lipa,https://www.kkbox.com/tw/tc/song/xXS00L7694pWbN6FWbN6F0XL-index.html,
Show Yourself,Various Artists,https://www.kkbox.com/tw/tc/song/EKg00O.G4aK.Hil2.Hil20XL-index.html,
Underdog,Alicia Keys (艾莉西亞凱斯),https://www.kkbox.com/tw/tc/song/dv700PoO98LcDRWzcDRWz0XL-index.html,
Ice Cream (with Selena Gomez),BLACKPINK (블랙핑크),https://www.kkbox.com/tw/tc/song/zAk0092GKaLESjMJESjMJ0XL-index.html,
Stupid Love,Lady Gaga,https://www.kkbox.com/tw/tc/song/ZQ800TdAPS.hqdKDhqdKD0XL-index.html,
Say So,Doja Cat,https://www.kkbox.com/tw/tc/song/g3500TlTtD5i06gHi06gH0XL-index.html,
everything i wanted,Billie Eilish (怪奇比莉),https://www.kkbox.com/tw/tc/song/ObI00H7KNaKQf9KeQf9Ke0XL-index.html,
Sweet Night,BTS V,https://www.kkbox.com/tw/tc/song/j9V00-aDd4prDoLjrDoLj0XL-index.html,
LAVA!,ØZI,https://www.kkbox.com/tw/tc/song/H6F00T..6.phdqlVhdqlV0XL-index.html,
Family,The Chainsmokers (老菸槍雙人組),https://www.kkbox.com/tw/tc/song/0BH00Dr4HK5MU-FHMU-FH0XL-index.html,
Midnight,Alesso,https://www.kkbox.com/tw/tc/song/fnr00yJDrKp5-DFz5-DFz0XL-index.html,
Adore You,Harry Styles (1世代之哈利),https://www.kkbox.com/tw/tc/song/VBC00ENW4S5NhWIXNhWIX0XL-index.html,
Forever,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/gtH00-GSGG.qI5QPqI5QP0XL-index.html,
All Is Found,Various Artists,https://www.kkbox.com/tw/tc/song/T6I00I4G4aKSrqw2Srqw20XL-index.html,
Lose Somebody,Kygo OneRepublic,https://www.kkbox.com/tw/tc/song/v19009N.XT5FO2wHFO2wH0XL-index.html,
Holy,Justin Bieber (小賈斯汀),https://www.kkbox.com/tw/tc/song/8At00LbCKW6Xo8.qXo8.q0XL-index.html,
Mean It,Lauv LANY,https://www.kkbox.com/tw/tc/song/OQg00y4OKUK52luA52luA0XL-index.html,
Only The Young - Featured in Miss Americana,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/0qO00x5MN-L2hwJR2hwJR0XL-index.html,
Heading Home,Alan Walker Ruben,https://www.kkbox.com/tw/tc/song/QWg00L64I8pWZGBfWZGBf0XL-index.html,
Like It Is,Kygo Zara Larsson Tyga,https://www.kkbox.com/tw/tc/song/n9D00ELKI8pN-kafN-kaf0XL-index.html,
Slow Grenade,Ellie Goulding (艾麗高登),https://www.kkbox.com/tw/tc/song/Mq100Tc2I1phm2Ufhm2Uf0XL-index.html,
Drown (feat. Clinton Kane),Martin Garrix Clinton Kane,https://www.kkbox.com/tw/tc/song/olL008t0OS.EFmB.EFmB.0XL-index.html,
Some Things Never Change,Various Artists,https://www.kkbox.com/tw/tc/song/Q0Y006KG4aKB.aA2B.aA20XL-index.html,
Girlfriend,CHARLIE PUTH (CP查理),https://www.kkbox.com/tw/tc/song/pkK00xH5-1p33BEf33BEf0XL-index.html,
Birthday,Anne-Marie,https://www.kkbox.com/tw/tc/song/f8k006O48KLBniLZBniLZ0XL-index.html,
Rare,Selena Gomez (席琳娜),https://www.kkbox.com/tw/tc/song/aZZ00Hr1XGLSRq4bSRq4b0XL-index.html,
Mind Is A Prison,Alec Benjamin,https://www.kkbox.com/tw/tc/song/g.y00XL0l85mxfq.mxfq.0XL-index.html,
Lose You To Love Me,Selena Gomez (席琳娜),https://www.kkbox.com/tw/tc/song/0-G00MN1XGLZ.awbZ.awb0XL-index.html,
Changes,Lauv,https://www.kkbox.com/tw/tc/song/t9c00wqCX8L2AZUz2AZUz0XL-index.html,
Don’t Call Me Angel (Charlie’s Angels),Various Artists,https://www.kkbox.com/tw/tc/song/8Wy0061U8MKApTymApTym0XL-index.html,
Tattoos Together,Lauv,https://www.kkbox.com/tw/tc/song/nab00XZaIGLnVrdVnVrdV0XL-index.html,
Blinding Lights,The Weeknd (威肯),https://www.kkbox.com/tw/tc/song/gXm0055888p8dvEf8dvEf0XL-index.html,
Live Forever,Liam Payne (1世代連恩),https://www.kkbox.com/tw/tc/song/AcT00y68dOp58wA358wA30XL-index.html,
On Somebody,Ava Max (艾娃麥絲),https://www.kkbox.com/tw/tc/song/uOt0067WP-5BCUU1BCUU10XL-index.html,
Lost in the Woods,Various Artists,https://www.kkbox.com/tw/tc/song/SBW00-LG4aKqZzZ2qZzZ20XL-index.html,
Together,Sia (希雅),https://www.kkbox.com/tw/tc/song/.D900aOO.DLvXT1BvXT1B0XL-index.html,
Lonely,Justin Bieber benny blanco,https://www.kkbox.com/tw/tc/song/GlZ00wY290a1KGp21KGp20XL-index.html,
Summer Feelings (feat. Charlie Puth),Various Artists,https://www.kkbox.com/tw/tc/song/iej0049UJX56Yp8p6Yp8p0XL-index.html,
Broken Glass,Kygo (凱戈),https://www.kkbox.com/tw/tc/song/MKd005c.KDLA4WbnA4Wbn0XL-index.html,
I Dare You,Kelly Clarkson (凱莉克萊森),https://www.kkbox.com/tw/tc/song/klE00wcKW151gmth1gmth0XL-index.html,
I Love My Friends,Steve Aoki (史帝夫．青木),https://www.kkbox.com/tw/tc/song/GYE00E4Y38pMwDcZMwDcZ0XL-index.html,
cardigan,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/40p00O-6OE5.D8Bl.D8Bl0XL-index.html,
Finally // beautiful stranger,Halsey (海爾希),https://www.kkbox.com/tw/tc/song/s1j008M4IK5CsPptCsPpt0XL-index.html,
Don't Start Now,Dua Lipa,https://www.kkbox.com/tw/tc/song/glo00Pr218LcMr1zcMr1z0XL-index.html,
Imma Get A New One,持修,https://www.kkbox.com/tw/tc/song/Zkz00MJ-X05ZPcFhZPcFh0XL-index.html,
To Die For,Sam Smith (山姆史密斯),https://www.kkbox.com/tw/tc/song/z.v004HT74.6eI0p6eI0p0XL-index.html,
Tick Tock (feat. 24kGoldn),Clean Bandit and Mabel,https://www.kkbox.com/tw/tc/song/GNh00EGS0a5NIPytNIPyt0XL-index.html,
Sigriswil - 'Crash Landing On You' Title Full Version,Various Artists,https://www.kkbox.com/tw/tc/song/o5k00DZKGK.LeffxLeffx0XL-index.html,
death bed (coffee for your head),Powfu,https://www.kkbox.com/tw/tc/song/wOJ00ClXq4.Jm0STJm0ST0XL-index.html,
Into the Unknown - Panic! At The Disco Version,Various Artists,https://www.kkbox.com/tw/tc/song/w4Y00x5G4aK2hDD22hDD20XL-index.html,
positions,Ariana Grande (亞莉安娜),https://www.kkbox.com/tw/tc/song/pIX008-UHSaDPWmiDPWmi0XL-index.html,
Savage Love (Laxed - Siren Beat),Jawsh 685 Jason Derulo,https://www.kkbox.com/tw/tc/song/SVs00x8LpD.2tJE52tJE50XL-index.html,
no song without you,Honne,https://www.kkbox.com/tw/tc/song/wMT00PM0W5Lb6XAvb6XAv0XL-index.html,
Toosie Slide,Drake (德瑞克),https://www.kkbox.com/tw/tc/song/oRG00CY62OpJD1rfJD1rf0XL-index.html,
Chills,Why Don't We,https://www.kkbox.com/tw/tc/song/Pen00CG.7S5IYAxtIYAxt0XL-index.html,
What A Man Gotta Do,Jonas Brothers (強納斯兄弟),https://www.kkbox.com/tw/tc/song/-IV00SbTMKLfOAvZfOAvZ0XL-index.html,
I'm Ready,Sam Smith Demi Lovato,https://www.kkbox.com/tw/tc/song/93B00U7IGWpiw2WJiw2WJ0XL-index.html,
Living Proof,Camila Cabello (哈瓦那情人 卡蜜拉),https://www.kkbox.com/tw/tc/song/pNw00.oO5K5u5on1u5on10XL-index.html,
Daisies,Katy Perry (凱蒂佩芮),https://www.kkbox.com/tw/tc/song/Bzv00E4I45LMugCvMugCv0XL-index.html,
Joke's On You,Various Artists,https://www.kkbox.com/tw/tc/song/YeT006GML4.BN40pBN40p0XL-index.html,
Who's Laughing Now,Ava Max (艾娃麥絲),https://www.kkbox.com/tw/tc/song/YDW00O4Q6Q5-2g.T-2g.T0XL-index.html,
FREE FALL,ØZI,https://www.kkbox.com/tw/tc/song/QzU00K7C44MUFDYoUFDYo0XL-index.html,
Brand New Way,DAMON,https://www.kkbox.com/tw/tc/song/aHK00P1Hd4paF0fFaF0fF0XL-index.html,
Monster,Shawn Mendes Justin Bieber,https://www.kkbox.com/tw/tc/song/BxS00OJIKWq--J0o--J0o0XL-index.html,
Who,Lauv,https://www.kkbox.com/tw/tc/song/dU.0043ScW.6BgQt6BgQt0XL-index.html,
Hold On (feat. Michel Zitron),Martin Garrix Matisse & Sadko Michel Zitron,https://www.kkbox.com/tw/tc/song/-7U00PNaP0LbE4IbbE4Ib0XL-index.html,
I Got You,Bazzi,https://www.kkbox.com/tw/tc/song/MKeQe00wL4215tb1Ttb1T0X4-index.html,
No Time To Die,Billie Eilish (怪奇比莉),https://www.kkbox.com/tw/tc/song/oXG00W9HPC.kFptxkFptx0XL-index.html,
End of Time,K-391 Alan Walker Ahrix,https://www.kkbox.com/tw/tc/song/e7z00INLcO.Te4hlTe4hl0XL-index.html,
My Bad (feat. Julie Bergan) - KSHMR Edit,SHAUN Advanced,https://www.kkbox.com/tw/tc/song/Fis00G.KbK.PNGZ.PNGZ.0XL-index.html,
OK Not To Be OK,Marshmello Demi Lovato,https://www.kkbox.com/tw/tc/song/lMn009M0H86FGaj6FGaj60XL-index.html,
Love Somebody,Lauv,https://www.kkbox.com/tw/tc/song/jEL00Gt01P.QAe91QAe910XL-index.html,
Higher Ground,Martin Garrix (馬汀 蓋瑞克斯),https://www.kkbox.com/tw/tc/song/pxW00TmTd1Li3sKVi3sKV0XL-index.html,
Nobody's Love,Maroon 5 (魔力紅),https://www.kkbox.com/tw/tc/song/9Z600G8a8E5OOAfXOOAfX0XL-index.html,
The Other Side (from Trolls World Tour),SZA,https://www.kkbox.com/tw/tc/song/J1Q00-pDPO.rk7I9rk7I90XL-index.html,
All The Time,Marc Benjamin,https://www.kkbox.com/tw/tc/song/Jtz0098D305EnMbTEnMbT0XL-index.html,
Wake Up,Elaine GA EUN & Kim Ki Won,https://www.kkbox.com/tw/tc/song/Q5G00aM8X.pvOIGNvOIGN0XL-index.html,
We Are Warriors,Avril Lavigne (艾薇兒),https://www.kkbox.com/tw/tc/song/33O00SL9r-pec-Pjec-Pj0XL-index.html,
Boss Bitch,Various Artists,https://www.kkbox.com/tw/tc/song/6kB00DWML4.LVZupLVZup0XL-index.html,
10000 Hours - Piano,Dan + Shay & Justin Bieber,https://www.kkbox.com/tw/tc/song/DML00YNWs45pWykPpWykP0XL-index.html,
exile,Taylor Swift (泰勒絲),https://www.kkbox.com/tw/tc/song/Il200x46OE52cabl2cabl0XL-index.html,
Savage Love (Laxed - Siren Beat) - BTS Remix,Jawsh 685 Jason Derulo BTS,https://www.kkbox.com/tw/tc/song/vQR00CGDOCMIVv4gIVv4g0XL-index.html,
Future Nostalgia,Dua Lipa,https://www.kkbox.com/tw/tc/song/IHw00P1M5G5aFT3xaFT3x0XL-index.html,
Original (from Dolittle),Sia (希雅),https://www.kkbox.com/tw/tc/song/31p00802H4LBvINfBvINf0XL-index.html,
Young & Alive,Bazzi,https://www.kkbox.com/tw/tc/song/X.q008MT8S.CupApCupAp0XL-index.html,
Diamonds (with Normani),Megan Thee Stallion & Normani,https://www.kkbox.com/tw/tc/song/qAL00WO218Lkkiqzkkiqz0XL-index.html,
